videoId,commentId,authorDisplayName,textOriginal,likeCount,student_1,student_2,student_3
5uA3AJ6pYC8,Ugy9_wpAhXAazi-Nj-V4AaABAg,徐文添,"不要幻想了局勢已定--
川普叫郭颱名分化藍軍--
郭 為了救公司必須選總統--
菜嬰蚊叫枉金萍分化藍軍--
藍皮綠骨漢奸一次性分離--
忠奸分離對藍軍是好事--
全力支持韓國瑜總統--",315,,無關對美立場,無關對美立場
6Hk4YGow-og,UgwSa7Bh7WIfmmJL_hl4AaABAg.8uAY36-qKJa8uA_80-gYT5,KERMIT,"聽你放屁就飽了
韓本來就可以表態的更好，結果勒～去了美國一大堆人支持就想選總統，拜托、才剛選完高雄市長ㄟ，正當性已經就不夠了，發這五點聲明是要氣死我們這些投他的人嗎！太扯了
被罵活該。",313,,有關-中立0,有關-中立0
6Kda7U4nybk,UgzqfGN8cdYLhBhtGol4AaABAg,elaine ling,👍國政完美組合，太棒了！太感動了！所以立刻訂好機票從北美洲回來投票。👏,309,,無關對美立場,有關-親美1
7Nm2ReHT_ro,UgwC25r8eI_RmQqTZCx4AaABAg,Judy lam,那個火前隊美國人是白癡嗎？他是故意的吧！,304,,無關對美立場,無關對美立場
7Nm2ReHT_ro,UgzP7qlX3lDs20HqvVp4AaABAg,Johnny Wu,馬英九你已經退休了，為什麼不學美國總統們下台了就不再插手政治，陪陪家人吧！出國渡渡假，別再回來了！,303,,無關對美立場,無關對美立場
7nQILJw66vk,UgyTl8SsffYbSzmsj194AaABAg,RichCat 山羊居,"趕快移到美加紐澳來, 選總統或議員, 澳洲已有第一位台灣出生的移民當選上議員, 美國今年有大陸移民第三代出來選總統, 別在台灣內鬥了, 浪費時間金錢, 來美加紐澳當總統議員吧",303,,有關-中立0,有關-親美1
7qACnYkOdPs,UgzwSmMA1g6L2Bg28OF4AaABAg,事後諸哥亮,"他要去美國玩大進場
為何我要買單?",693,,有關-中立0,無關對美立場
7tQmNL04FDM,UgxAWJzQtgZMqx9X_7R4AaABAg.92PAggqXri792PC8_loJ0O,Coco Yu,張莉庭 私煙變超買 斷橋靠油罐車 普悠瑪怪司機 斷交顧主權⋯⋯這些是人民抹黑蔡英文？36年詐騙假博士封存論文成了世界奇聞！我不是網軍 我是住在美國加州矽谷的台灣人！我不想我的家人用癌發電！,303,,無關對美立場,有關-親美1
7z-DLbM4UOs,Ugx6Kg0fYUEGFEji6sR4AaABAg,Andy Chang,太離譜了! 公權力在哪了? 每次警察都當民進黨的犧牲品，這假如是發生美國，早就被判進監獄了,303,,有關-中立0,有關-中立0
8-_kWdskHlc,UgwmvWa75uujnPhfApl4AaABAg,文科藝旦甄柔,梅蘭芳是美國榮譽博士，胡適有30幾個博士學位耶！榮譽博士居多...無聊！  做事做得好不好，才是重點！！,669,,無關對美立場,無關對美立場
